EpiuppdragID	Analysmaterialid	Status (numerisk)	Status	Kommentar	Resultat	Undersökning/Analys	Undersökningar	Alla agens och undersökningar	Djuridentitet	Uppdragid	Provid	Provursprung	Överordnadeuppdrag	Djurslagskod	Systematikkod	Djurslag	Livsvillkor	Djurhållning	Län	PPN	Gisx	Gisy	Gisbeskrivning	Materialkod	Materialnamn	Könkod	Insättningsdatum	Besättningsstorlek	Produktionsplats	Kön	Ålder	Produktionssätt	Handläggare	Insändare	Djurägare	Kundmärkning	Provdatum	Provtagningsorsak	Provtagningsorsak Namn	Ankomstdatum	Övrigt	Raskod	Ras	Provtagare	Antalpooladeanalysmaterial	Kundnamn	Kundadress	Kundpostnr	Kundort	Kund Djurägare Adress	Kund Djurägare Postnr	Kund Djurägare Ort	Uppdraget har K4	Labprovid	Namn	Parprovsid	Kommentarer	Antal inköpta kalvar	Antal platser	Antal flockar	Antal smittade flockar	Antal djur i smittad flock	Antibiotika res	Ursprungsland	Blodig diarré	Löpnummer	Besättningsstorlek lokal	Campylobacterart	Detaljerad provtagningsorsak	Dnr SJV	Foderleverantör	Fagtyp	Fjäderfä	Gårdsnamn	Hippuratest	Indexfall	MLST	MLST complex	Mortalitet	Morbiditet	Maldi-tof resultat	MLVA sammanställning	MIC	Materialnamn detaljerad	Påverkat AT	Primärisolat	Provtyp	Primärfall	Provtagningsområde	Produktionsstadium	Preliminärt primärisolat	PFGE typning	Svår dyspné	Systematikodsmappning1	Spärrdatum	Spärr hävd	Sida i foderanläggning	Serotyp	Terapisvikt	Vattnig diarré	Ärende i Urax	Indexisolat	SVARM	Agensurval	Allmän BKT	Teknik	Agenspåvisande teknik	Typning
E18-024	18-VLT000111-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 111/18	U180302-1011	18-VLT000111-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	M		6225565	1328884	Maglaby	POOL	Pool	1				Hankön	Vuxen							2020	Fallviltundersökning	2018/03/02 00:00:00					2									18-VLT000111-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	18-VLT000112-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 112/18	U180213-1012	18-VLT000112-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	C		6615614	1592277	Bälsunda	POOL	Pool	2				Honkön	4 månader							2020	Fallviltundersökning	2018/02/14 00:00:00					2									18-VLT000112-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	18-VLT000113-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 113/18	U180205-1013	18-VLT000113-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	AB		6624900	1655244	Addarsnäs Gård 	POOL	Pool	2				Honkön	2017							2020	Fallviltundersökning	2018/02/06 00:00:00					2									18-VLT000113-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT003114-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 114/17	U171123-1014	17-VLT003114-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	K		6253170	1446034	Ringamåla, Karlshamn	POOL	Pool	1				Hankön	6 månader							2020	Fallviltundersökning	2017/11/23 00:00:00					2									17-VLT003114-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT003115-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 115/17	U171123-1015	17-VLT003115-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	K		6252170	1446034	Ringamåla, Karlshamn	POOL	Pool	2				Honkön	6 månader							2020	Fallviltundersökning	2017/11/23 00:00:00					2									17-VLT003115-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT002116-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 116/17	U171018-1016	17-VLT002116-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	H		6269000	1499000	Stora Glosebo, Gullabo	POOL	Pool	2				Honkön	Ungdjur							2020	Fallviltundersökning	2017/10/19 00:00:00					2									17-VLT002116-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT002117-1	0	Ej påvisad		ej påvisad	ASFV rPCR	CSFV rPCR, ASFV rPCR		VLT 117/17	U170815-1017	17-VLT002117-1	SVALA		.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	C		6634581	1614050	Hällen Lagga	POOL	Pool	1				Hankön	5 månader							2020	Fallviltundersökning	2017/08/15 00:00:00					2									17-VLT002117-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001118-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 118/17	U170711-1018	17-VLT001118-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	T		6544050	1463680	Söder om Hallsberg mot Skogaholm	POOL	Pool	2				Honkön	5 månader							2020	Fallviltundersökning	2017/07/12 00:00:00					2									17-VLT001118-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001119-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 119/17	U170530-1019	17-VLT001119-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	AB		6538126	1613020	Fällnäs gård, Sorunda	POOL	Pool	1				Hankön	Årsunge							2020	Fallviltundersökning	2017/05/30 00:00:00					2									17-VLT001119-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001120-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 120/17	U170509-1020	17-VLT001120-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	T				Ej angiven	POOL	Pool	1				Hankön	Årsunge							10003	Övervakningsprogram	2017/05/22 00:00:00					1									17-VLT001120-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001121-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 121/17	U170509-1021	17-VLT001121-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	T				Ej angiven	POOL	Pool	1				Hankön	Årsunge							10003	Övervakningsprogram	2017/05/22 00:00:00					1									17-VLT001121-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001122-1	0	Ej påvisad		ej påvisad	ASFV rPCR	P-fall, ASFV rPCR		VLT 122/17	U170509-1022	17-VLT001122-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	C				Ej angiven	.o	Ofixerat material	2				Honkön							2017/05/22 00:00:00	10003	Övervakningsprogram	2017/05/09 00:00:00					0									17-VLT001122-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001123-1	0	Ej påvisad		ej påvisad	ASFV rPCR	P-fall, ASFV rPCR		VLT 123/17	U170509-1023	17-VLT001123-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	C				Ej angiven	.o	Ofixerat material	2				Honkön							2017/05/22 00:00:00	10003	Övervakningsprogram	2017/05/09 00:00:00					0									17-VLT001123-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001124-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 124/17	U170503-1024	17-VLT001124-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	D		6548308	1588440	Hårby säteri	POOL	Pool	2				Honkön	Årsunge							2020	Fallviltundersökning	2017/05/04 00:00:00					2									17-VLT001124-1	ASF visualisering																																																	5975		Realtids-PCR	1
E18-024	17-VLT001125-1	0	Ej påvisad		ej påvisad	ASFV rPCR	ASFV rPCR		VLT 125/17	U170419-1025	17-VLT001125-1	SVALA	Ö12-006	.v	8987505251511	Vildsvin		Vilt (Jakt - fiske - natur)	AB		6547000	1606000	Hörningsholm	POOL	Pool	2				Honkön	Vuxen							2020	Fallviltundersökning	2017/04/19 00:00:00					2									17-VLT001125-1	ASF visualisering																																																	5975		Realtids-PCR	1
